YNSM_NO,YNSM_CUST,ynsd_prod,ynsd_qty,ynsd_amt,YN_DATE
S24B0085            ,A0822     ,PS05378DB07000000001,2,205000,11/20/2024
S24B0085            ,A0822     ,PS05378DLA8000000001,1,205000,11/20/2024
S24B0085            ,A0822     ,PS05378DS51000000001,1,205000,11/20/2024
S24B0085            ,A0822     ,PS05378DLK9000000001,3,200000,11/20/2024
S24B0085            ,A0822     ,PS05378DH66000000001,2,200000,11/20/2024
S24B0082            ,A0559     ,PS051E4DR18000000001,12,133636.36,11/19/2024
S24B0082            ,A0559     ,PS051E4DY86000000001,4,133636.36,11/19/2024
S24B0082            ,A0559     ,PS051E4D015000000001,8,133636.36,11/19/2024
S24B0083            ,A0666     ,PS051C8DB07000000001,71,173181.82,11/19/2024
S24B0083            ,A0666     ,PS051C8DW01000000001,2,168181.82,11/19/2024
S24B0083            ,A0666     ,PS051C8DR47000000001,10,168181.82,11/19/2024
S24B0083            ,A0666     ,PS051C8DR11000000001,6,168181.82,11/19/2024
S24B0083            ,A0666     ,PS051C8DB03000000001,2,168181.82,11/19/2024
S24B0083            ,A0666     ,PS051C8DY03000000001,2,168181.82,11/19/2024
S24B0083            ,A0666     ,PS051C8DLK9000000001,5,168181.82,11/19/2024
S24B0083            ,A0666     ,PS051C8DH66000000001,12,168181.82,11/19/2024
S24B0077            ,A0479     ,PS051E5DW01000000001,4,143636.36,11/18/2024
S24B0077            ,A0479     ,PS051E5DG04000000001,2,143636.36,11/18/2024
S24B0077            ,A0479     ,PS051E5DR47000000001,4,143636.36,11/18/2024
S24B0077            ,A0479     ,PS05295DLG6000000G01,4,259545.46,11/18/2024
S24B0077            ,A0479     ,PS05288DR48000000G01,5,219090.91,11/18/2024
S24B0077            ,A0479     ,PS05288DW01000000G01,3,219090.91,11/18/2024
S24B0077            ,A0479     ,PS05288DW01000000F01,1,219090.91,11/18/2024
S24B0077            ,A0479     ,PS05288DS01000000F01,1,219090.91,11/18/2024
S24B0078            ,A0479     ,PS05288DW13000000F01,1,0,11/18/2024
S24B0078            ,A0479     ,PS05288DLA8000000F01,1,0,11/18/2024
S24B0079            ,A0794     ,PS051B9DB07000000001,5,162272.73,11/18/2024
S24B0079            ,A0794     ,PS051B9DS51000000001,7,162272.73,11/18/2024
S24B0079            ,A0794     ,PS051B9DR01000000001,7,157272.73,11/18/2024
S24B0079            ,A0794     ,PS051B9DY04000000001,1,157272.73,11/18/2024
S24B0079            ,A0794     ,PS053A2DG63000000E01,1,286818.18,11/18/2024
S24B0079            ,A0794     ,PS053A2DY62000000E01,2,281818.18,11/18/2024
S24B0079            ,A0794     ,PS053A2DY86000000E01,2,281818.18,11/18/2024
S24B0079            ,A0794     ,PS053A2DS51000000F01,1,286818.18,11/18/2024
S24B0079            ,A0794     ,PS053A2DLK9000000F01,1,281818.18,11/18/2024
S24B0079            ,A0794     ,PS053A2D015000000G01,1,281818.18,11/18/2024
S24B0079            ,A0794     ,PS053A2DS51000000G01,2,286818.18,11/18/2024
S24B0080            ,A0794     ,PS053A2DB07000000F01,2,0,11/18/2024
S24B0080            ,A0794     ,PS051B9DY04000000001,4,0,11/18/2024
S24B0081            ,A0929     ,PS051D2DB07000000001,2,104090.91,11/18/2024
S24B0081            ,A0929     ,PS051D2DH66000000001,2,99090.91,11/18/2024
S24B0081            ,A0929     ,PS05849DB07B0181GG01,1,377727.27,11/18/2024
S24B0081            ,A0929     ,PS053B2DB07000000E01,1,282272.73,11/18/2024
S24B0081            ,A0929     ,PS053B2DLK9000000E01,1,277272.73,11/18/2024
S24B0081            ,A0929     ,PS053B2DW01000000E01,1,277272.73,11/18/2024
S24B0081            ,A0929     ,PS053B2DY62000000E01,2,277272.73,11/18/2024
S24B0081            ,A0929     ,PS053B2DR47000000E01,1,277272.73,11/18/2024
S24B0081            ,A0929     ,PS053B2DB07000000F02,1,282272.73,11/18/2024
S24B0081            ,A0929     ,PS053B2DLK9000000F01,1,277272.73,11/18/2024
S24B0081            ,A0929     ,PS053B2DW01000000F02,1,277272.73,11/18/2024
S24B0081            ,A0929     ,PS053B2DR47000000F01,1,277272.73,11/18/2024
S24B0081            ,A0929     ,PS053B2DB07000000G02,1,282272.73,11/18/2024
S24B0081            ,A0929     ,PS053B2DLK9000000G01,1,277272.73,11/18/2024
S24B0081            ,A0929     ,PS053B2DW01000000G02,1,277272.73,11/18/2024
S24B0071            ,A0750     ,PS051C8DLK9000000001,3,180000,11/16/2024
S24B0071            ,A0750     ,PS053A2DLK9000000E01,3,281818.18,11/16/2024
S24B0071            ,A0750     ,PS053A2DLA8000000E01,7,286818.18,11/16/2024
S24B0071            ,A0750     ,PS053A2DLK9000000F01,6,281818.18,11/16/2024
S24B0071            ,A0750     ,PS053A2DW13000000F01,4,281818.18,11/16/2024
S24B0072            ,A0750     ,PS053A2DW13000000F01,4,0,11/16/2024
S24B0073            ,A0421     ,PS05288DG04000000F01,10,219090.91,11/16/2024
S24B0073            ,A0421     ,PS05288DR47000000F01,5,219090.91,11/16/2024
S24B0073            ,A0421     ,PS05288DY86000000F01,5,219090.91,11/16/2024
S24B0073            ,A0421     ,PS05831DR01A04718F01,4,572727.27,11/16/2024
S24B0073            ,A0421     ,PS05831DW01A047B3F01,4,572727.27,11/16/2024
S24B0073            ,A0421     ,PS05831DR49A04718F01,2,590909.09,11/16/2024
S24B0074            ,A0421     ,PS05831DLG6000000G01,4,482272.73,11/16/2024
S24B0074            ,A0421     ,PS05831DS51000000G01,4,482272.73,11/16/2024
S24B0074            ,A0421     ,PS05831DB01A047A2F01,2,572727.27,11/16/2024
S24B0075            ,A0421     ,PS05831DR01A04718F01,2,0,11/16/2024
S24B0076            ,A0421     ,PS05288DG04000000F01,4,0,11/16/2024
S24B0076            ,A0421     ,PS05831DR49A04718F01,2,0,11/16/2024
S24B0066            ,A0889     ,PS05L02DB07000000E01,4,343636.36,11/15/2024
S24B0066            ,A0889     ,PS05L02DB07000000E03,1,343636.36,11/15/2024
S24B0066            ,A0889     ,PS05L02D000X002G1E01,1,362727.27,11/15/2024
S24B0066            ,A0889     ,PS05L02D000X002G1F01,1,362727.27,11/15/2024
S24B0066            ,A0889     ,PS05L02D000X0031BE01,1,362727.27,11/15/2024
S24B0066            ,A0889     ,PS05L02D000X0031BF01,1,362727.27,11/15/2024
S24B0066            ,A0889     ,PS05L02D000X0031JE01,1,362727.27,11/15/2024
S24B0066            ,A0889     ,PS05L02D000X0031JF01,1,362727.27,11/15/2024
S24B0066            ,A0889     ,PS05L02D000X003C7E01,2,362727.27,11/15/2024
S24B0066            ,A0889     ,PS05L02D000X003C7F01,3,362727.27,11/15/2024
S24B0067            ,A0854     ,PS051D2DB07000000001,5,104090.91,11/15/2024
S24B0067            ,A0854     ,PS051C8DY62000000001,2,180000,11/15/2024
S24B0067            ,A0854     ,PS051C8DR11000000001,2,180000,11/15/2024
S24B0067            ,A0854     ,PS05849DB01B01812G01,1,372727.27,11/15/2024
S24B0067            ,A0854     ,PS05849DB07B02113G01,1,377727.27,11/15/2024
S24B0067            ,A0854     ,PS05849DB07B021D3G01,1,377727.27,11/15/2024
S24B0067            ,A0854     ,PS05848DH48B04519G01,1,477727.27,11/15/2024
S24B0067            ,A0854     ,PS05848DH48B0451BG01,1,477727.27,11/15/2024
S24B0067            ,A0854     ,PS05848DH68B046B1G01,1,477727.27,11/15/2024
S24B0067            ,A0854     ,PS05848DS05000000G01,2,409090.91,11/15/2024
S24B0067            ,A0854     ,PS05L02DB07000000F01,2,343636.36,11/15/2024
S24B0067            ,A0854     ,PS05L02DW06000000E01,2,343636.36,11/15/2024
S24B0067            ,A0854     ,PS05188DB07000000001,2,186818.18,11/15/2024
S24B0067            ,A0854     ,PS05188DLG6000000001,2,186818.18,11/15/2024
S24B0067            ,A0854     ,PS053A2DR48000000E01,2,281818.18,11/15/2024
S24B0067            ,A0854     ,PS053A2DY62000000E01,2,281818.18,11/15/2024
S24B0067            ,A0854     ,PS053A2DW13000000E01,2,281818.18,11/15/2024
S24B0067            ,A0854     ,PS053A2DY62000000F01,2,281818.18,11/15/2024
S24B0067            ,A0854     ,PS053A2DR47000000G01,2,281818.18,11/15/2024
S24B0067            ,A0854     ,PS05L02DB07000000E03,2,343636.36,11/15/2024
S24B0068            ,A0854     ,PS05L02D000X002C5F01,1,362727.27,11/15/2024
S24B0068            ,A0854     ,PS05L02DLG6000000F01,2,343636.36,11/15/2024
S24B0068            ,A0854     ,PS05L02DYA1000000F01,1,343636.36,11/15/2024
S24B0068            ,A0854     ,PS05L02DW06000000F01,2,343636.36,11/15/2024
S24B0068            ,A0854     ,PS05848DLA8000000F01,2,414090.91,11/15/2024
S24B0069            ,A0935     ,PS05848DH68B046B1G01,2,477727.27,11/15/2024
S24B0069            ,A0935     ,PS05848DLH4B046B1G01,1,477727.27,11/15/2024
S24B0069            ,A0935     ,PS05848DG54B046B1G01,2,477727.27,11/15/2024
S24B0070            ,A0854     ,PS053A2DLA8000000E01,2,0,11/15/2024
S24B0061            ,A0817     ,PS051E4D015000000001,12,133636.36,11/14/2024
S24B0061            ,A0817     ,PS051C8D015000000001,10,180000,11/14/2024
S24B0061            ,A0817     ,PS051C8DY03000000001,2,180000,11/14/2024
S24B0061            ,A0817     ,PS051C8DB07000000001,12,185000,11/14/2024
S24B0061            ,A0817     ,PS051E5DR47000000001,12,143636.36,11/14/2024
S24B0062            ,A0865     ,PS051B9DB07000000001,1,154090.91,11/14/2024
S24B0062            ,A0865     ,PS051B9DB03000000001,5,149090.91,11/14/2024
S24B0062            ,A0865     ,PS051B9DR01000000001,2,149090.91,11/14/2024
S24B0062            ,A0865     ,PS051B9DY04000000001,2,149090.91,11/14/2024
S24B0062            ,A0865     ,PS051B9DS51000000001,10,154090.91,11/14/2024
S24B0062            ,A0865     ,PS051E4DR01000000001,6,127272.73,11/14/2024
S24B0062            ,A0865     ,PS05201DL06000000001,3,235909.09,11/14/2024
S24B0062            ,A0865     ,PS05201DR11000000001,1,235909.09,11/14/2024
S24B0062            ,A0865     ,PS05201DB07000000001,1,240909.09,11/14/2024
S24B0062            ,A0865     ,PS05849DB01B01812G01,1,336363.64,11/14/2024
S24B0062            ,A0865     ,PS05849DB07B0181GG01,1,341363.64,11/14/2024
S24B0062            ,A0865     ,PS05849DB07B021D3G01,1,341363.64,11/14/2024
S24B0062            ,A0865     ,PS05849DB07B0211HG01,1,341363.64,11/14/2024
S24B0062            ,A0865     ,PS05849DG63000000H01,1,277727.27,11/14/2024
S24B0062            ,A0865     ,PS051C8DB07000000001,3,173181.82,11/14/2024
S24B0062            ,A0865     ,PS051C8DLA8000000001,1,173181.82,11/14/2024
S24B0062            ,A0865     ,PS051C8DL06000000001,2,168181.82,11/14/2024
S24B0062            ,A0865     ,PS051C8DY03000000001,4,168181.82,11/14/2024
S24B0062            ,A0865     ,PS051C8DH66000000001,4,168181.82,11/14/2024
S24B0062            ,A0865     ,PS051C8DR11000000001,3,168181.82,11/14/2024
S24B0062            ,A0865     ,PS051C8DLK9000000001,2,168181.82,11/14/2024
S24B0062            ,A0865     ,PS051D2DB07000000001,23,98636.36,11/14/2024
S24B0062            ,A0865     ,PS051D2DH66000000001,2,93636.36,11/14/2024
S24B0062            ,A0865     ,PS051D2DG04000000001,1,93636.36,11/14/2024
S24B0062            ,A0865     ,PS05378DB07000000001,5,205000,11/14/2024
S24B0062            ,A0865     ,PS05378DLA8000000001,5,205000,11/14/2024
S24B0062            ,A0865     ,PS05378DS51000000001,3,205000,11/14/2024
S24B0062            ,A0865     ,PS05378DH66000000001,7,200000,11/14/2024
S24B0062            ,A0865     ,PS05378DLK9000000001,8,200000,11/14/2024
S24B0062            ,A0865     ,PS05622DB07000000G01,1,567770.91,11/14/2024
S24B0062            ,A0865     ,PS05188DB07000000001,1,177727.27,11/14/2024
S24B0062            ,A0865     ,SXV02808SCA001001,30,31818.18,11/14/2024
S24B0062            ,A0865     ,SXV02120SCA003002,45,31818.18,11/14/2024
S24B0062            ,A0865     ,SXV02142SCA001001,5,31818.18,11/14/2024
S24B0063            ,A0865     ,PS051B9DB07000000001,4,0,11/14/2024
S24B0064            ,A0847     ,PS05848DS05000000F01,2,409090.91,11/14/2024
S24B0064            ,A0847     ,PS05848DS05000000G01,2,409090.91,11/14/2024
S24B0064            ,A0847     ,PS05378DH66000000001,6,220909.09,11/14/2024
S24B0064            ,A0847     ,PS05378DB07000000001,6,225909.09,11/14/2024
S24B0064            ,A0847     ,PS053A2DLK9000000E01,1,281818.18,11/14/2024
S24B0064            ,A0847     ,PS053A2DR48000000E01,1,281818.18,11/14/2024
S24B0064            ,A0847     ,PS053A2DS51000000E01,2,286818.18,11/14/2024
S24B0064            ,A0847     ,PS053A2DLK9000000F01,1,281818.18,11/14/2024
S24B0064            ,A0847     ,PS053A2DR48000000F01,2,281818.18,11/14/2024
S24B0064            ,A0847     ,PS053A2DS51000000F01,2,286818.18,11/14/2024
S24B0064            ,A0847     ,PS053A2DLK9000000G01,1,281818.18,11/14/2024
S24B0065            ,A0847     ,PS053A2DS51000000G01,2,0,11/14/2024
S24B0051            ,A0743     ,PS051C8DR47000000001,4,180000,11/13/2024
S24B0051            ,A0743     ,PS051C8DR01000000001,3,180000,11/13/2024
S24B0051            ,A0743     ,PS051C8DL06000000001,4,180000,11/13/2024
S24B0051            ,A0743     ,PS051C8DG63000000001,3,185000,11/13/2024
S24B0051            ,A0743     ,PS051C8DB07000000001,10,185000,11/13/2024
S24B0052            ,A0548     ,PS05201DB03000000001,6,248181.82,11/13/2024
S24B0052            ,A0548     ,PS05201DR11000000001,6,248181.82,11/13/2024
S24B0052            ,A0548     ,PS05201DL06000000001,6,248181.82,11/13/2024
S24B0052            ,A0548     ,PS05201DB07000000001,6,253181.82,11/13/2024
S24B0052            ,A0548     ,PS05288DW01000000G01,10,219090.91,11/13/2024
S24B0053            ,A0548     ,PS051E5DR01000000001,5,143636.36,11/13/2024
S24B0053            ,A0548     ,PS051E5DW01000000001,5,143636.36,11/13/2024
S24B0053            ,A0548     ,PS051D2DB07000000001,5,104090.91,11/13/2024
S24B0053            ,A0548     ,PS051D2DG63000000001,5,104090.91,11/13/2024
S24B0053            ,A0548     ,PS051D2DS05000000001,5,99090.91,11/13/2024
S24B0053            ,A0548     ,PS051D2DH66000000001,5,99090.91,11/13/2024
S24B0053            ,A0548     ,PS051D2DLK9000000001,5,99090.91,11/13/2024
S24B0053            ,A0548     ,PS05848DH66000000F01,1,409090.91,11/13/2024
S24B0053            ,A0548     ,PS05848DS05000000F01,2,409090.91,11/13/2024
S24B0053            ,A0548     ,PS05848DLA8000000F01,2,414090.91,11/13/2024
S24B0053            ,A0548     ,PS05848DS05000000G01,3,409090.91,11/13/2024
S24B0053            ,A0548     ,PS05848DH66000000H01,4,409090.91,11/13/2024
S24B0053            ,A0548     ,SXV02848SCA003001,20,39090.91,11/13/2024
S24B0053            ,A0548     ,SXV02645SCA003001,10,56363.64,11/13/2024
S24B0053            ,A0548     ,SXV021CBSCA001001,5,48181.82,11/13/2024
S24B0053            ,A0548     ,SXV021CBSCA003002,5,48181.82,11/13/2024
S24B0053            ,A0548     ,SXV021CBSCA003001,5,48181.82,11/13/2024
S24B0054            ,A0548     ,PS05288DW01000000G01,2,0,11/13/2024
S24B0055            ,A0666     ,PS051E5DR48000000001,6,136363.64,11/13/2024
S24B0055            ,A0666     ,PS051E5DG04000000001,6,136363.64,11/13/2024
S24B0055            ,A0666     ,PS05310DB07000000F01,12,296818.18,11/13/2024
S24B0055            ,A0666     ,PS051C8DH66000000001,1,168181.82,11/13/2024
S24B0055            ,A0666     ,PS051C8DB07000000001,12,173181.82,11/13/2024
S24B0055            ,A0666     ,PS05849DB07B0181GG01,1,341363.64,11/13/2024
S24B0055            ,A0666     ,PS05849DB07B02113G01,1,341363.64,11/13/2024
S24B0055            ,A0666     ,PS05849DB07B0211HG01,1,341363.64,11/13/2024
S24B0055            ,A0666     ,PS05849DB07B021D3G01,1,341363.64,11/13/2024
S24B0055            ,A0666     ,PS05849DB01B01812G01,1,336363.64,11/13/2024
S24B0055            ,A0666     ,PS05288DB07000000F01,10,213181.82,11/13/2024
S24B0055            ,A0666     ,SXV02120SCA003002,6,31818.18,11/13/2024
S24B0055            ,A0666     ,SXV02142SCA001001,6,31818.18,11/13/2024
S24B0055            ,A0666     ,SXV021C7SCA003001,3,33000,11/13/2024
S24B0055            ,A0666     ,SXV021CBSCA003001,4,43636.36,11/13/2024
S24B0055            ,A0666     ,SXV02831SCA001001,1,47272.73,11/13/2024
S24B0055            ,A0666     ,SXV02640SCA001001,1,35000,11/13/2024
S24B0055            ,A0666     ,SXV02295SCA003005,2,50909.09,11/13/2024
S24B0055            ,A0666     ,SXV021AKSCA003001,5,50909.09,11/13/2024
S24B0055            ,A0666     ,SXV02848SCA003001,10,35000,11/13/2024
S24B0056            ,A0666     ,PS05288DB07000000F01,2,0,11/13/2024
S24B0057            ,A0548     ,PS05831DLG6000000F01,5,482272.73,11/13/2024
S24B0057            ,A0548     ,PS05831DS51000000H01,5,482272.73,11/13/2024
S24B0058            ,A0548     ,PS05831DR01A04718F01,2,0,11/13/2024
S24B0059            ,A0285     ,PS05622DB07000000F01,1,595909.09,11/13/2024
S24B0059            ,A0285     ,PS05622DH66000000F01,2,590909.09,11/13/2024
S24B0059            ,A0285     ,PS05622DB07000000G01,2,595909.09,11/13/2024
S24B0059            ,A0285     ,PS05622DH66000000G01,2,590909.09,11/13/2024
S24B0059            ,A0285     ,PS05622DB07000000H01,2,595909.09,11/13/2024
S24B0059            ,A0285     ,PS05622DH66000000H01,2,590909.09,11/13/2024
S24B0059            ,A0285     ,PS05622DB07000000I01,1,595909.09,11/13/2024
S24B0059            ,A0285     ,PS053A2DY62000000E01,1,281818.18,11/13/2024
S24B0059            ,A0285     ,PS053A2DY86000000E01,1,281818.18,11/13/2024
S24B0059            ,A0285     ,PS053A2DW13000000E01,1,281818.18,11/13/2024
S24B0059            ,A0285     ,PS053A2DY62000000F01,1,281818.18,11/13/2024
S24B0059            ,A0285     ,PS053A2DW13000000F01,1,281818.18,11/13/2024
S24B0059            ,A0285     ,PS053A2DR47000000G01,3,281818.18,11/13/2024
S24B0059            ,A0285     ,PS053A2DY86000000G01,1,281818.18,11/13/2024
S24B0059            ,A0285     ,PS053A2DLK9000000G01,1,281818.18,11/13/2024
S24B0060            ,A0285     ,PS053A2DS51000000G01,2,0,11/13/2024
S24B0044            ,A0794     ,PS051D2DB07000000001,4,104090.91,11/11/2024
S24B0044            ,A0794     ,PS051D2DLA8000000001,4,104090.91,11/11/2024
S24B0044            ,A0794     ,PS051D2DG63000000001,4,104090.91,11/11/2024
S24B0044            ,A0794     ,PS051D2DR11000000001,6,99090.91,11/11/2024
S24B0044            ,A0794     ,PS051D2DY62000000001,4,99090.91,11/11/2024
S24B0044            ,A0794     ,PS051D2DS05000000001,4,99090.91,11/11/2024
S24B0044            ,A0794     ,PS051E5DS01000000001,3,143636.36,11/11/2024
S24B0044            ,A0794     ,PS051E5DS51000000001,3,148636.36,11/11/2024
S24B0044            ,A0794     ,PS05288DW13000000F01,2,219090.91,11/11/2024
S24B0044            ,A0794     ,PS05288DR47000000G01,2,219090.91,11/11/2024
S24B0044            ,A0794     ,PS05288DR48000000G01,2,219090.91,11/11/2024
S24B0044            ,A0794     ,PS05288DG04000000F01,2,219090.91,11/11/2024
S24B0044            ,A0794     ,PS05288D015000000G01,2,219090.91,11/11/2024
S24B0045            ,A0794     ,PS05288DR12000000G01,2,0,11/11/2024
S24B0046            ,A0822     ,PS051D2DB07000000001,11,98636.36,11/11/2024
S24B0046            ,A0822     ,PS051D2DLA8000000001,22,98636.36,11/11/2024
S24B0046            ,A0822     ,PS051D2DG63000000001,2,98636.36,11/11/2024
S24B0046            ,A0822     ,PS051D2DLK9000000001,9,93636.36,11/11/2024
S24B0046            ,A0822     ,PS051D2DW13000000001,10,93636.36,11/11/2024
S24B0046            ,A0822     ,PS051D2DW01000000001,10,93636.36,11/11/2024
S24B0046            ,A0822     ,PS051D2DR47000000001,4,93636.36,11/11/2024
S24B0046            ,A0822     ,PS051D2DL06000000001,2,93636.36,11/11/2024
S24B0046            ,A0822     ,PS051D2DH66000000001,6,93636.36,11/11/2024
S24B0046            ,A0822     ,PS051D2DY86000000001,1,93636.36,11/11/2024
S24B0046            ,A0822     ,PS05188DB07000000001,15,177727.27,11/11/2024
S24B0046            ,A0822     ,PS05188DLG6000000001,3,177727.27,11/11/2024
S24B0046            ,A0822     ,PS05188DW13000000001,14,172727.27,11/11/2024
S24B0046            ,A0822     ,PS05188DR47000000001,3,172727.27,11/11/2024
S24B0046            ,A0822     ,PS05188DY03000000001,3,172727.27,11/11/2024
S24B0046            ,A0822     ,PS05188DH66000000001,3,172727.27,11/11/2024
S24B0046            ,A0822     ,PS05188DLK9000000001,3,172727.27,11/11/2024
S24B0046            ,A0822     ,PS05188DS01000000001,2,172727.27,11/11/2024
S24B0046            ,A0822     ,PS05188DS05000000001,2,172727.27,11/11/2024
S24B0046            ,A0822     ,PS05188DR11000000001,1,172727.27,11/11/2024
S24B0047            ,A0632     ,PS05310DB07000000F01,108,312272.73,11/11/2024
S24B0047            ,A0632     ,PS05310DLG6000000F01,24,312272.73,11/11/2024
S24B0047            ,A0632     ,PS05310DR12000000F01,12,312272.73,11/11/2024
S24B0047            ,A0632     ,PS05310DS51000000F01,36,312272.73,11/11/2024
S24B0047            ,A0632     ,PS05310DG14000000F01,12,307272.73,11/11/2024
S24B0047            ,A0632     ,PS05310DS05000000F01,24,307272.73,11/11/2024
S24B0047            ,A0632     ,PS05310DS01000000F01,12,307272.73,11/11/2024
S24B0047            ,A0632     ,PS05310DH02000000F01,24,307272.73,11/11/2024
S24B0047            ,A0632     ,PS05310DR11000000F01,12,307272.73,11/11/2024
S24B0047            ,A0632     ,PS05310DB03000000F01,12,307272.73,11/11/2024
S24B0047            ,A0632     ,PS05310DL06000000F01,12,307272.73,11/11/2024
S24B0048            ,A0641     ,PS05288DR48000000G01,8,219090.91,11/11/2024
S24B0048            ,A0641     ,PS05288DW01000000G01,7,219090.91,11/11/2024
S24B0048            ,A0641     ,PS05288DG04000000F01,2,219090.91,11/11/2024
S24B0048            ,A0641     ,PS05288DR47000000F01,3,219090.91,11/11/2024
S24B0048            ,A0641     ,PS053A2DG63000000E01,3,286818.18,11/11/2024
S24B0048            ,A0641     ,PS053A2DR48000000E01,1,281818.18,11/11/2024
S24B0048            ,A0641     ,PS053A2DR48000000F01,2,281818.18,11/11/2024
S24B0048            ,A0641     ,PS053A2DW13000000F01,1,281818.18,11/11/2024
S24B0048            ,A0641     ,PS053A2DR47000000G01,3,281818.18,11/11/2024
S24B0049            ,A0641     ,PS053A2DLK9000000F01,2,0,11/11/2024
S24B0049            ,A0641     ,PS05288DR47000000G01,4,0,11/11/2024
S24B0050            ,A0817     ,PS05848DB07000000F01,8,414090.91,11/11/2024
S24B0050            ,A0817     ,PS05622DH66000000G01,1,590909.09,11/11/2024
S24B0050            ,A0817     ,PS05622DB07000000G01,1,595909.09,11/11/2024
S24B0050            ,A0817     ,PS05622DH66000000H01,2,590909.09,11/11/2024
S24B0050            ,A0817     ,PS05622DB07000000H01,2,595909.09,11/11/2024
S24B0050            ,A0817     ,PS05622DLG6000000H01,2,595909.09,11/11/2024
S24B0043            ,A0887     ,PS051D2DY62000000001,2,99090.91,11/9/2024
S24B0043            ,A0887     ,PS051D2DL06000000001,2,99090.91,11/9/2024
S24B0043            ,A0887     ,PS051D2DH66000000001,2,99090.91,11/9/2024
S24B0043            ,A0887     ,PS051D2DLK9000000001,2,99090.91,11/9/2024
S24B0043            ,A0887     ,PS051D2DW01000000001,2,99090.91,11/9/2024
S24B0043            ,A0887     ,PS051D2DY86000000001,2,99090.91,11/9/2024
S24B0043            ,A0887     ,PS051D2DB07000000001,2,104090.91,11/9/2024
S24B0043            ,A0887     ,PS051D2DG63000000001,3,104090.91,11/9/2024
S24B0043            ,A0887     ,PS051E5DS51000000001,2,148636.36,11/9/2024
S24B0043            ,A0887     ,PS051E5DW01000000001,3,143636.36,11/9/2024
S24B0043            ,A0887     ,PS051E5DR47000000001,2,143636.36,11/9/2024
S24B0043            ,A0887     ,PS051E5DY86000000001,2,143636.36,11/9/2024
S24B0043            ,A0887     ,PS051E5DG04000000001,2,143636.36,11/9/2024
S24B0043            ,A0887     ,PS051E4DR18000000001,2,133636.36,11/9/2024
S24B0036            ,A0889     ,PS051D2DLK9000000001,8,99090.91,11/8/2024
S24B0036            ,A0889     ,PS051D2DH66000000001,6,99090.91,11/8/2024
S24B0036            ,A0889     ,PS051D2DL06000000001,5,99090.91,11/8/2024
S24B0036            ,A0889     ,PS051D2DW13000000001,5,99090.91,11/8/2024
S24B0036            ,A0889     ,PS05288DR12000000G01,3,224090.91,11/8/2024
S24B0036            ,A0889     ,PS05288DG04000000G01,1,219090.91,11/8/2024
S24B0036            ,A0889     ,PS05288DW01000000G01,2,219090.91,11/8/2024
S24B0036            ,A0889     ,PS05288DR47000000G01,2,219090.91,11/8/2024
S24B0036            ,A0889     ,PS05288DR48000000G01,2,219090.91,11/8/2024
S24B0037            ,A0889     ,PS05288DW13000000F01,2,0,11/8/2024
S24B0038            ,A0490     ,PS051E5DR18000000001,2,143636.36,11/8/2024
S24B0038            ,A0490     ,PS051E5DR48000000001,8,143636.36,11/8/2024
S24B0038            ,A0490     ,PS051E5DR47000000001,2,143636.36,11/8/2024
S24B0038            ,A0490     ,PS051E5DW01000000001,2,143636.36,11/8/2024
S24B0038            ,A0490     ,PS051E5DS51000000001,1,148636.36,11/8/2024
S24B0038            ,A0490     ,PS051C8DB07000000001,2,185000,11/8/2024
S24B0038            ,A0490     ,PS051C8DG63000000001,2,185000,11/8/2024
S24B0038            ,A0490     ,PS051C8DH66000000001,1,180000,11/8/2024
S24B0038            ,A0490     ,PS051C8DW13000000001,1,180000,11/8/2024
S24B0038            ,A0490     ,PS05848DS05000000G01,1,409090.91,11/8/2024
S24B0038            ,A0490     ,PS05848DH48B04519G01,1,477727.27,11/8/2024
S24B0038            ,A0490     ,PS05848DG54B046B1G01,1,477727.27,11/8/2024
S24B0038            ,A0490     ,PS05848DH68B046B1G01,1,477727.27,11/8/2024
S24B0039            ,A0833     ,PS051C8DB07000000001,24,185000,11/8/2024
S24B0040            ,A0574     ,PS05109DB07W123B1001,10,174090.91,11/8/2024
S24B0040            ,A0574     ,PS05109DLG6W12315001,9,174090.91,11/8/2024
S24B0040            ,A0574     ,PS05109DS51W12315001,1,174090.91,11/8/2024
S24B0041            ,A0574     ,PS05109DS51W12315001,4,0,11/8/2024
S24B0042            ,A0215     ,SXV02128SCA004001,180,35454.55,11/8/2024
S24B0028            ,A0274     ,SXV02120SCA001002,60,35454.55,11/7/2024
S24B0028            ,A0274     ,SXV02120SCA003002,40,35454.55,11/7/2024
S24B0028            ,A0274     ,PS05295DB07000000G01,5,259545.46,11/7/2024
S24B0028            ,A0274     ,PS05295DLG6000000G01,3,259545.46,11/7/2024
S24B0028            ,A0274     ,PS05295DH66000000F01,2,254545.46,11/7/2024
S24B0028            ,A0274     ,PS05288DR47000000G01,3,219090.91,11/7/2024
S24B0028            ,A0274     ,PS05288DW01000000G01,2,219090.91,11/7/2024
S24B0028            ,A0274     ,PS05288DR48000000G01,2,219090.91,11/7/2024
S24B0028            ,A0274     ,PS05288DW13000000F01,3,219090.91,11/7/2024
S24B0029            ,A0274     ,PS05288DG04000000G01,2,0,11/7/2024
S24B0029            ,A0274     ,PS05295DH66000000F01,1,0,11/7/2024
S24B0029            ,A0274     ,PS05295DS05000000G01,1,0,11/7/2024
