"prd_no","logo","model","std","color","sqa","sqa_color","size","prd_name"
PA011933B07000000F01,ASTONE,"1300",CNS,抗刮消光黑,素色,素色,L,ASTONE 1300(GT1000F) CNS 抗刮消光黑 L
PA011933B07000000G01,ASTONE,"1300",CNS,抗刮消光黑,素色,素色,XL,ASTONE 1300(GT1000F) CNS 抗刮消光黑 XL
PA011933B07000000H01,ASTONE,"1300",CNS,抗刮消光黑,素色,素色,"2XL",ASTONE 1300(GT1000F) CNS 抗刮消光黑 2XL
PA011933B07000000I01,ASTONE,"1300",CNS,抗刮消光黑,素色,素色,"3XL",ASTONE 1300(GT1000F) CNS 抗刮消光黑 3XL
PA011933C01000000B01,ASTONE,"1300",CNS,透明碳纖,素色,素色,"2XS",ASTONE 1300(GT1000F) CNS 透明碳纖 2XS
PA011933C01000000C01,ASTONE,"1300",CNS,透明碳纖,素色,素色,XS,ASTONE 1300(GT1000F) CNS 透明碳纖 XS
PA011933C01000000D01,ASTONE,"1300",CNS,透明碳纖,素色,素色,S,ASTONE 1300(GT1000F) CNS 透明碳纖 S
PA011933C01000000E01,ASTONE,"1300",CNS,透明碳纖,素色,素色,M,ASTONE 1300(GT1000F) CNS 透明碳纖 M
PA011933C01000000F01,ASTONE,"1300",CNS,透明碳纖,素色,素色,L,ASTONE 1300(GT1000F) CNS 透明碳纖 L
PA011933C01000000G01,ASTONE,"1300",CNS,透明碳纖,素色,素色,XL,ASTONE 1300(GT1000F) CNS 透明碳纖 XL
PA011933C01000000H01,ASTONE,"1300",CNS,透明碳纖,素色,素色,"2XL",ASTONE 1300(GT1000F) CNS 透明碳纖 2XL
PA011933C01000000I01,ASTONE,"1300",CNS,透明碳纖,素色,素色,"3XL",ASTONE 1300(GT1000F) CNS 透明碳纖 3XL
PA011933C01A019B3D01,ASTONE,"1300",CNS,透明碳纖,AC2水漂,黑紅,S,ASTONE 1300(GT1000F) CNS AC2 透明碳纖/黑紅 S
PA011933C01A019B3E01,ASTONE,"1300",CNS,透明碳纖,AC2水漂,黑紅,M,ASTONE 1300(GT1000F) CNS AC2 透明碳纖/黑紅 M
PA011933C01A019B3F01,ASTONE,"1300",CNS,透明碳纖,AC2水漂,黑紅,L,ASTONE 1300(GT1000F) CNS AC2 透明碳纖/黑紅 L
PA011933C01A019B3G01,ASTONE,"1300",CNS,透明碳纖,AC2水漂,黑紅,XL,ASTONE 1300(GT1000F) CNS AC2 透明碳纖/黑紅 XL
PA011933C01A019B3H01,ASTONE,"1300",CNS,透明碳纖,AC2水漂,黑紅,"2XL",ASTONE 1300(GT1000F) CNS AC2 透明碳纖/黑紅 2XL
PA011933C01A019B3I01,ASTONE,"1300",CNS,透明碳纖,AC2水漂,黑紅,"3XL",ASTONE 1300(GT1000F) CNS AC2 透明碳纖/黑紅 3XL
PA011933C01A019B7D01,ASTONE,"1300",CNS,透明碳纖,AC2水漂,黑藍,S,ASTONE 1300(GT1000F) CNS AC2 透明碳纖/黑藍 S
PA011933C01A019B7E01,ASTONE,"1300",CNS,透明碳纖,AC2水漂,黑藍,M,ASTONE 1300(GT1000F) CNS AC2 透明碳纖/黑藍 M
PA011933C01A019B7F01,ASTONE,"1300",CNS,透明碳纖,AC2水漂,黑藍,L,ASTONE 1300(GT1000F) CNS AC2 透明碳纖/黑藍 L
PA011933C01A019B7G01,ASTONE,"1300",CNS,透明碳纖,AC2水漂,黑藍,XL,ASTONE 1300(GT1000F) CNS AC2 透明碳纖/黑藍 XL
PA011933C01A019B7H01,ASTONE,"1300",CNS,透明碳纖,AC2水漂,黑藍,"2XL",ASTONE 1300(GT1000F) CNS AC2 透明碳纖/黑藍 2XL
PA011933C01A1631BD01,ASTONE,"1300",CNS,透明碳纖,AC9水漂,紅,S,ASTONE 1300(GT1000F) CNS AC9 透明碳纖/紅 S
PA011933C01A1631BE01,ASTONE,"1300",CNS,透明碳纖,AC9水漂,紅,M,ASTONE 1300(GT1000F) CNS AC9 透明碳纖/紅 M
PA011933C01A1631BF01,ASTONE,"1300",CNS,透明碳纖,AC9水漂,紅,L,ASTONE 1300(GT1000F) CNS AC9 透明碳纖/紅 L
PA011933C01A1631BG01,ASTONE,"1300",CNS,透明碳纖,AC9水漂,紅,XL,ASTONE 1300(GT1000F) CNS AC9 透明碳纖/紅 XL
PA011933C01A1631BH01,ASTONE,"1300",CNS,透明碳纖,AC9水漂,紅,"2XL",ASTONE 1300(GT1000F) CNS AC9 透明碳纖/紅 2XL
PA011933C01A1631BI01,ASTONE,"1300",CNS,透明碳纖,AC9水漂,紅,"3XL",ASTONE 1300(GT1000F) CNS AC9 透明碳纖/紅 3XL
PA011933C01A22715C01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,金,XS,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/金 XS
PA011933C01A22715D01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,金,S,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/金 S
PA011933C01A22715E01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,金,M,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/金 M
PA011933C01A22715F01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,金,L,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/金 L
PA011933C01A22715G01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,金,XL,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/金 XL
PA011933C01A22715H01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,金,"2XL",ASTONE 1300(GT1000F) CNS AC10 透明碳纖/金 2XL
PA011933C01A22715I01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,金,"3XL",ASTONE 1300(GT1000F) CNS AC10 透明碳纖/金 3XL
PA011933C01A2271BD01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,紅,S,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/紅 S
PA011933C01A2271BE01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,紅,M,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/紅 M
PA011933C01A2271BF01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,紅,L,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/紅 L
PA011933C01A2271BG01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,紅,XL,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/紅 XL
PA011933C01A2271BH01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,紅,"2XL",ASTONE 1300(GT1000F) CNS AC10 透明碳纖/紅 2XL
PA011933C01A2271BI01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,紅,"3XL",ASTONE 1300(GT1000F) CNS AC10 透明碳纖/紅 3XL
PA011933C01A227B1C01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,黑銀,XS,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/黑銀 XS
PA011933C01A227B1D01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,黑銀,S,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/黑銀 S
PA011933C01A227B1E01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,黑銀,M,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/黑銀 M
PA011933C01A227B1F01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,黑銀,L,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/黑銀 L
PA011933C01A227B1G01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,黑銀,XL,ASTONE 1300(GT1000F) CNS AC10 透明碳纖/黑銀 XL
PA011933C01A227B1H01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,黑銀,"2XL",ASTONE 1300(GT1000F) CNS AC10 透明碳纖/黑銀 2XL
PA011933C01A227B1I01,ASTONE,"1300",CNS,透明碳纖,AC10水漂,黑銀,"3XL",ASTONE 1300(GT1000F) CNS AC10 透明碳纖/黑銀 3XL
PA011933C01A30410C01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,白,XS,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/白 XS
PA011933C01A30410D01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,白,S,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/白 S
PA011933C01A30410E01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,白,M,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/白 M
PA011933C01A30410F01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,白,L,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/白 L
PA011933C01A30410G01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,白,XL,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/白 XL
PA011933C01A30410H01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,白,"2XL",ASTONE 1300(GT1000F) CNS AC11 透明碳纖/白 2XL
PA011933C01A30410I01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,白,"3XL",ASTONE 1300(GT1000F) CNS AC11 透明碳纖/白 3XL
PA011933C01A30413D01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,藍,S,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/藍 S
PA011933C01A30413E01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,藍,M,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/藍 M
PA011933C01A30413F01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,藍,L,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/藍 L
PA011933C01A30413G01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,藍,XL,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/藍 XL
PA011933C01A30413H01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,藍,"2XL",ASTONE 1300(GT1000F) CNS AC11 透明碳纖/藍 2XL
PA011933C01A30413I01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,藍,"3XL",ASTONE 1300(GT1000F) CNS AC11 透明碳纖/藍 3XL
PA011933C01A3041BC01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,紅,XS,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/紅 XS
PA011933C01A3041BD01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,紅,S,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/紅 S
PA011933C01A3041BE01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,紅,M,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/紅 M
PA011933C01A3041BF01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,紅,L,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/紅 L
PA011933C01A3041BG01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,紅,XL,ASTONE 1300(GT1000F) CNS AC11 透明碳纖/紅 XL
PA011933C01A3041BH01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,紅,"2XL",ASTONE 1300(GT1000F) CNS AC11 透明碳纖/紅 2XL
PA011933C01A3041BI01,ASTONE,"1300",CNS,透明碳纖,AC11水漂,紅,"3XL",ASTONE 1300(GT1000F) CNS AC11 透明碳纖/紅 3XL
PA011933C01A37110C01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,白,XS,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/白 XS
PA011933C01A37110D01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,白,S,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/白 S
PA011933C01A37110E01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,白,M,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/白 M
PA011933C01A37110F01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,白,L,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/白 L
PA011933C01A37110G01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,白,XL,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/白 XL
PA011933C01A37110H01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,白,"2XL",ASTONE 1300(GT1000F) CNS AC12 透明碳纖/白 2XL
PA011933C01A37110I01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,白,"3XL",ASTONE 1300(GT1000F) CNS AC12 透明碳纖/白 3XL
PA011933C01A37113C01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,藍,XS,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/藍 XS
PA011933C01A37113D01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,藍,S,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/藍 S
PA011933C01A37113E01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,藍,M,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/藍 M
PA011933C01A37113F01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,藍,L,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/藍 L
PA011933C01A37113G01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,藍,XL,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/藍 XL
PA011933C01A37113H01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,藍,"2XL",ASTONE 1300(GT1000F) CNS AC12 透明碳纖/藍 2XL
PA011933C01A37113I01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,藍,"3XL",ASTONE 1300(GT1000F) CNS AC12 透明碳纖/藍 3XL
PA011933C01A37115C01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,金,XS,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/金 XS
PA011933C01A37115D01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,金,S,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/金 S
PA011933C01A37115E01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,金,M,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/金 M
PA011933C01A37115F01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,金,L,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/金 L
PA011933C01A37115G01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,金,XL,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/金 XL
PA011933C01A37115H01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,金,"2XL",ASTONE 1300(GT1000F) CNS AC12 透明碳纖/金 2XL
PA011933C01A37115I01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,金,"3XL",ASTONE 1300(GT1000F) CNS AC12 透明碳纖/金 3XL
PA011933C01A3711BC01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,紅,XS,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/紅 XS
PA011933C01A3711BD01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,紅,S,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/紅 S
PA011933C01A3711BE01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,紅,M,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/紅 M
PA011933C01A3711BF01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,紅,L,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/紅 L
PA011933C01A3711BG01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,紅,XL,ASTONE 1300(GT1000F) CNS AC12 透明碳纖/紅 XL
PA011933C01A3711BH01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,紅,"2XL",ASTONE 1300(GT1000F) CNS AC12 透明碳纖/紅 2XL
PA011933C01A3711BI01,ASTONE,"1300",CNS,透明碳纖,AC12水漂,紅,"3XL",ASTONE 1300(GT1000F) CNS AC12 透明碳纖/紅 3XL
PA011933C06000000C01,ASTONE,"1300",CNS,透明碳纖變色龍(綠紫),素色,素色,XS,ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(綠紫) XS
PA011933C06000000D01,ASTONE,"1300",CNS,透明碳纖變色龍(綠紫),素色,素色,S,ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(綠紫) S
PA011933C06000000E01,ASTONE,"1300",CNS,透明碳纖變色龍(綠紫),素色,素色,M,ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(綠紫) M
PA011933C06000000F01,ASTONE,"1300",CNS,透明碳纖變色龍(綠紫),素色,素色,L,ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(綠紫) L
PA011933C06000000G01,ASTONE,"1300",CNS,透明碳纖變色龍(綠紫),素色,素色,XL,ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(綠紫) XL
PA011933C06000000H01,ASTONE,"1300",CNS,透明碳纖變色龍(綠紫),素色,素色,"2XL",ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(綠紫) 2XL
PA011933C06000000I01,ASTONE,"1300",CNS,透明碳纖變色龍(綠紫),素色,素色,"3XL",ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(綠紫) 3XL
PA011933C07000000C01,ASTONE,"1300",CNS,透明碳纖變色龍(藍紫),素色,素色,XS,ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(藍紫) XS
PA011933C07000000D01,ASTONE,"1300",CNS,透明碳纖變色龍(藍紫),素色,素色,S,ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(藍紫) S
PA011933C07000000E01,ASTONE,"1300",CNS,透明碳纖變色龍(藍紫),素色,素色,M,ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(藍紫) M
PA011933C07000000F01,ASTONE,"1300",CNS,透明碳纖變色龍(藍紫),素色,素色,L,ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(藍紫) L
PA011933C07000000G01,ASTONE,"1300",CNS,透明碳纖變色龍(藍紫),素色,素色,XL,ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(藍紫) XL
PA011933C07000000H01,ASTONE,"1300",CNS,透明碳纖變色龍(藍紫),素色,素色,"2XL",ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(藍紫) 2XL
PA011933C07000000I01,ASTONE,"1300",CNS,透明碳纖變色龍(藍紫),素色,素色,"3XL",ASTONE 1300(GT1000F) CNS 透明碳纖變色龍(藍紫) 3XL
PA011933S19A0641EE01,ASTONE,"1300",CNS,珍珠黑銀Black 7C,AC6水漂,橘,M,ASTONE 1300(GT1000F) CNS AC6 珍珠黑銀/橘 M
PA011933S19A0641EF01,ASTONE,"1300",CNS,珍珠黑銀Black 7C,AC6水漂,橘,L,ASTONE 1300(GT1000F) CNS AC6 珍珠黑銀/橘 L
PA011933S19A0641EG01,ASTONE,"1300",CNS,珍珠黑銀Black 7C,AC6水漂,橘,XL,ASTONE 1300(GT1000F) CNS AC6 珍珠黑銀/橘 XL
PA011933S19A0641EH01,ASTONE,"1300",CNS,珍珠黑銀Black 7C,AC6水漂,橘,"2XL",ASTONE 1300(GT1000F) CNS AC6 珍珠黑銀/橘 2XL
PA011933W01000000D01,ASTONE,"1300",CNS,白,素色,素色,S,ASTONE 1300(GT1000F) CNS 白 S
PA011933W01000000E01,ASTONE,"1300",CNS,白,素色,素色,M,ASTONE 1300(GT1000F) CNS 白 M
PA011933W01000000F01,ASTONE,"1300",CNS,白,素色,素色,L,ASTONE 1300(GT1000F) CNS 白 L
PA011933W01000000G01,ASTONE,"1300",CNS,白,素色,素色,XL,ASTONE 1300(GT1000F) CNS 白 XL
PA011933W01000000H01,ASTONE,"1300",CNS,白,素色,素色,"2XL",ASTONE 1300(GT1000F) CNS 白 2XL
PA011933W01000000I01,ASTONE,"1300",CNS,白,素色,素色,"3XL",ASTONE 1300(GT1000F) CNS 白 3XL
PA011933W01A019B3D01,ASTONE,"1300",CNS,白,AC2水漂,黑紅,S,ASTONE 1300(GT1000F) CNS AC2 白/黑紅 S
PA011933W01A019B3E01,ASTONE,"1300",CNS,白,AC2水漂,黑紅,M,ASTONE 1300(GT1000F) CNS AC2 白/黑紅 M
PA011933W01A019B3F01,ASTONE,"1300",CNS,白,AC2水漂,黑紅,L,ASTONE 1300(GT1000F) CNS AC2 白/黑紅 L
PA011933W01A019B3G01,ASTONE,"1300",CNS,白,AC2水漂,黑紅,XL,ASTONE 1300(GT1000F) CNS AC2 白/黑紅 XL
PA011933W01A019B3H01,ASTONE,"1300",CNS,白,AC2水漂,黑紅,"2XL",ASTONE 1300(GT1000F) CNS AC2 白/黑紅 2XL
PA011933W01A06416C01,ASTONE,"1300",CNS,白,AC6水漂,銀,XS,ASTONE 1300(GT1000F) CNS AC6 白/銀 XS
PA011933W01A06416D01,ASTONE,"1300",CNS,白,AC6水漂,銀,S,ASTONE 1300(GT1000F) CNS AC6 白/銀 S
PA011933W01A06416E01,ASTONE,"1300",CNS,白,AC6水漂,銀,M,ASTONE 1300(GT1000F) CNS AC6 白/銀 M
PA011933W01A06416F01,ASTONE,"1300",CNS,白,AC6水漂,銀,L,ASTONE 1300(GT1000F) CNS AC6 白/銀 L
PA011933W01A06416G01,ASTONE,"1300",CNS,白,AC6水漂,銀,XL,ASTONE 1300(GT1000F) CNS AC6 白/銀 XL
PA011933W01A0641BD01,ASTONE,"1300",CNS,白,AC6水漂,紅,S,ASTONE 1300(GT1000F) CNS AC6 白/紅 S
PA011933W01A0641BE01,ASTONE,"1300",CNS,白,AC6水漂,紅,M,ASTONE 1300(GT1000F) CNS AC6 白/紅 M
PA011933W01A0641BF01,ASTONE,"1300",CNS,白,AC6水漂,紅,L,ASTONE 1300(GT1000F) CNS AC6 白/紅 L
PA011933W01A0641BG01,ASTONE,"1300",CNS,白,AC6水漂,紅,XL,ASTONE 1300(GT1000F) CNS AC6 白/紅 XL
PA011933W01A0641BH01,ASTONE,"1300",CNS,白,AC6水漂,紅,"2XL",ASTONE 1300(GT1000F) CNS AC6 白/紅 2XL
PA011933W01A0641BI01,ASTONE,"1300",CNS,白,AC6水漂,紅,"3XL",ASTONE 1300(GT1000F) CNS AC6 白/紅 3XL
PA012353B07000000D01,ASTONE,"202FD",CNS,抗刮消光黑,素色,素色,S,ASTONE 202FD(RS) CNS 抗刮消光黑 S
PA012353B07000000E01,ASTONE,"202FD",CNS,抗刮消光黑,素色,素色,M,ASTONE 202FD(RS) CNS 抗刮消光黑 M
PA012353B07000000F01,ASTONE,"202FD",CNS,抗刮消光黑,素色,素色,L,ASTONE 202FD(RS) CNS 抗刮消光黑 L
PA012353B07000000G01,ASTONE,"202FD",CNS,抗刮消光黑,素色,素色,XL,ASTONE 202FD-A1(RS) CNS 抗刮消光黑 XL
PA012353B07000000H01,ASTONE,"202FD",CNS,抗刮消光黑,素色,素色,"2XL",ASTONE 202FD(RS) CNS 抗刮消光黑 2XL
PA012353B07000000I01,ASTONE,"202FD",CNS,抗刮消光黑,素色,素色,"3XL",ASTONE 202FD(RS) CNS 抗刮消光黑 3XL
PA012353B07104416E01,ASTONE,"202FD",CNS,抗刮消光黑,II37水漂,銀,M,ASTONE 202FD(RS) CNS II37 抗刮消光黑/銀 M
PA012353B07104416F01,ASTONE,"202FD",CNS,抗刮消光黑,II37水漂,銀,L,ASTONE 202FD(RS) CNS II37 抗刮消光黑/銀 L
PA012353B07104416G01,ASTONE,"202FD",CNS,抗刮消光黑,II37水漂,銀,XL,ASTONE 202FD(RS) CNS II37 抗刮消光黑/銀 XL
PA012353B07T0761BD01,ASTONE,"202FD",CNS,抗刮消光黑,T65水漂,紅,S,ASTONE 202FD(RS) CNS T65 抗刮消光黑/紅 S
PA012353B07T0761BE01,ASTONE,"202FD",CNS,抗刮消光黑,T65水漂,紅,M,ASTONE 202FD(RS) CNS T65 抗刮消光黑/紅 M
PA012353B07T0761BF01,ASTONE,"202FD",CNS,抗刮消光黑,T65水漂,紅,L,ASTONE 202FD(RS) CNS T65 抗刮消光黑/紅 L
PA012353B07T0761BG01,ASTONE,"202FD",CNS,抗刮消光黑,T65水漂,紅,XL,ASTONE 202FD-A1(RS) CNS T65 抗刮消光黑/紅 XL
PA012353B07T0761BH01,ASTONE,"202FD",CNS,抗刮消光黑,T65水漂,紅,"2XL",ASTONE 202FD-A1(RS) CNS T65 抗刮消光黑/紅 2XL
PA012353B07T0761BI01,ASTONE,"202FD",CNS,抗刮消光黑,T65水漂,紅,"3XL",ASTONE 202FD-A1(RS) CNS T65 抗刮消光黑/紅 3XL
PA012353H02T0761DD01,ASTONE,"202FD",CNS,新鐵灰,T65水漂,粉紅,S,ASTONE 202FD(RS) CNS T65 新鐵灰/粉紅 S
PA012353H02T0761DE01,ASTONE,"202FD",CNS,新鐵灰,T65水漂,粉紅,M,ASTONE 202FD(RS) CNS T65 新鐵灰/粉紅 M
PA012353H02T0761DF01,ASTONE,"202FD",CNS,新鐵灰,T65水漂,粉紅,L,ASTONE 202FD(RS) CNS T65 新鐵灰/粉紅 L
PA012353H02T0761DG01,ASTONE,"202FD",CNS,新鐵灰,T65水漂,粉紅,XL,ASTONE 202FD-A1(RS) CNS T65 新鐵灰/粉紅 XL
PA012353H02T0761DH01,ASTONE,"202FD",CNS,新鐵灰,T65水漂,粉紅,"2XL",ASTONE 202FD-A1(RS) CNS T65 新鐵灰/粉紅 2XL
PA012353H02T0761DI01,ASTONE,"202FD",CNS,新鐵灰,T65水漂,粉紅,"3XL",ASTONE 202FD-A1(RS) CNS T65 新鐵灰/粉紅 3XL
